time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.575089,-0.3956,0.2911,-0.4484,0.665
4.594847,0.2810,0.3206,-0.7912,0.899
4.612525,0.3341,0.2329,-0.8474,0.940
4.632342,0.0222,0.5953,-0.2448,0.644
4.651122,-0.3443,0.8087,-0.4097,0.970
4.670132,0.0450,0.7492,-0.5490,0.930
4.689453,-0.1070,0.5074,-0.6252,0.812
4.708208,-0.2433,0.8093,-0.4037,0.937
4.727432,-0.9290,0.7638,-0.3174,1.244
4.746092,-0.7271,0.5776,-0.5976,1.104
4.764984,-0.1338,0.4779,-1.3617,1.449
4.783524,0.3778,0.6823,-1.2156,1.444
4.803950,1.7131,0.2246,-1.7690,2.473
4.822873,1.6210,-0.1257,-2.5910,3.059
4.841258,1.3798,0.2129,-2.6176,2.967
4.860736,1.4256,0.1649,-2.1559,2.590
4.880281,0.1209,-0.1562,-2.7151,2.722
4.899329,-1.0574,-0.1757,-2.8394,3.035
4.917389,-1.4180,-0.6661,-3.2274,3.588
4.936979,-1.4059,-0.7870,-2.9133,3.329
4.955442,-1.5826,-0.9118,-2.7380,3.291
4.975007,-1.1909,-1.0681,-2.9032,3.315
4.994163,-0.7419,-1.2852,-2.5755,2.972
5.012697,-0.6370,-0.6497,-2.1353,2.321
5.032145,-0.3555,0.0353,-1.5030,1.545
5.051164,-0.2406,-0.3387,-1.3098,1.374
5.070307,-0.5849,-0.7242,-1.1959,1.515
5.089908,-1.1137,-0.7154,-0.2598,1.349
5.108055,-1.6117,0.0181,-0.0849,1.614
5.127249,-1.3859,-0.0544,-0.1248,1.393
5.146823,-0.1801,-0.3249,-0.5485,0.662
5.165147,0.6503,-0.3867,-0.9999,1.254
5.184081,0.6093,0.5748,-0.3450,0.906
5.203816,0.5520,0.6084,0.1979,0.845
5.222627,0.5723,0.8489,-0.0319,1.024
5.241068,0.6363,1.0013,0.0108,1.186
5.260246,1.0847,0.5935,-0.6872,1.415
5.279526,0.6689,0.4065,-1.0850,1.338
5.298054,-0.8504,0.1830,-0.6534,1.088
5.316948,-1.6301,0.3301,-0.4598,1.726
5.337157,-1.1364,0.3447,-0.6977,1.377
5.355795,-0.3088,0.4305,-1.1560,1.272
5.374208,-0.0475,0.3726,-1.1725,1.231
5.394348,-0.0940,0.2021,-0.9712,0.996
5.413257,-0.1991,0.1899,-1.0001,1.037
5.432814,-0.3581,0.0349,-1.0107,1.073
5.452432,-0.5620,-0.1122,-1.1318,1.269
5.470150,-0.9583,-0.3993,-1.0584,1.483
5.489098,-1.0004,-0.7244,-0.6773,1.409
5.508346,-0.9963,-0.5079,-0.0629,1.120
5.527415,-0.7349,-0.7362,0.4197,1.122
5.545665,-0.5242,-0.7954,0.6567,1.157
5.566509,-0.4384,-0.3554,0.8708,1.038
5.586235,-0.2660,-0.2646,0.5466,0.663
5.604084,-0.0949,-0.0677,0.4332,0.449
5.621642,-0.0212,0.0208,0.2293,0.231
5.642052,-0.3192,0.0296,0.1988,0.377
5.659741,-0.6917,-0.2034,0.0665,0.724
5.679248,-0.7722,-0.3432,-0.0480,0.846
5.698766,-0.4091,-0.1009,-0.2017,0.467
5.717600,-0.4070,0.0846,-0.1393,0.438
5.738397,-0.3939,0.1044,-0.2387,0.472
5.755837,-0.2001,0.1834,-0.2187,0.349
5.773669,-0.0633,0.1650,-0.3366,0.380
5.793764,-0.1612,0.0060,-0.2955,0.337
5.812843,-0.0505,0.1430,-0.1102,0.187
5.831023,-0.0548,0.3583,0.0996,0.376
5.851425,-0.0770,0.3846,0.1761,0.430
5.869159,-0.2553,0.2336,0.1389,0.373
5.889004,-0.0357,-0.1063,-0.0374,0.118
5.907705,0.2381,-0.2234,-0.2197,0.394
5.927913,0.4154,-0.2668,-0.3244,0.591
5.946121,0.2626,-0.1375,-0.2495,0.387
5.964387,-0.2102,0.0635,-0.0836,0.235
5.983003,-0.1979,0.0803,-0.1550,0.264
6.002564,0.1589,-0.0546,-0.2604,0.310
6.022298,0.0577,-0.0724,-0.4009,0.411
6.041520,-0.0737,-0.1239,-0.1279,0.193
6.059413,0.0132,-0.1381,0.2416,0.279
6.078785,0.2352,-0.0354,0.3431,0.417
6.097826,0.2385,0.1216,0.3184,0.416
6.117619,0.1144,0.1844,0.4006,0.456
6.135881,-0.2008,0.0968,0.4681,0.518
6.155395,-0.6637,-0.0437,0.3883,0.770
6.173843,-0.7855,-0.1755,0.2793,0.852
6.193585,-0.6210,-0.2200,0.1093,0.668
6.212344,-0.3759,-0.1901,-0.0175,0.422
6.230987,-0.0134,-0.2275,-0.1805,0.291
6.249327,0.2610,-0.3590,-0.3190,0.547
6.269947,0.2958,-0.2137,-0.2323,0.433
6.288016,0.0741,-0.0628,-0.0792,0.125
6.308157,-0.1605,0.0600,0.0773,0.188
6.326462,-0.2524,0.0846,0.1778,0.320
6.344973,-0.1780,0.0092,0.0837,0.197
6.364682,-0.1383,0.0763,-0.0164,0.159
6.383721,-0.1075,0.1677,-0.0803,0.215
6.402344,0.0231,0.2405,-0.2140,0.323
6.420790,0.1552,0.2807,-0.1890,0.372
6.440714,0.2300,0.2357,-0.2224,0.397
6.459364,0.2636,0.1248,-0.0394,0.294
6.478458,0.1625,-0.0080,0.0713,0.178
6.497509,0.0198,-0.0301,0.0273,0.045
6.516718,0.1070,-0.0397,0.2146,0.243
6.535679,0.0535,-0.2465,0.1597,0.299
6.554913,0.0739,-0.3213,-0.0636,0.336
6.573701,0.0793,-0.3390,-0.1753,0.390
6.593331,0.1193,-0.1988,-0.0716,0.243
6.611322,0.1619,-0.0132,-0.0126,0.163
6.630606,0.0926,0.0758,-0.0696,0.139
6.648906,0.0138,0.0855,0.0474,0.099
6.668520,0.0139,0.0838,0.1649,0.185
6.688230,0.0276,0.0964,0.1031,0.144
6.706798,0.0597,0.0865,0.1220,0.161
6.726792,0.0549,0.1355,0.1639,0.220
6.744733,-0.0976,0.1732,0.1302,0.238
6.764428,-0.1213,0.1073,0.0807,0.181
6.783438,-0.0420,-0.0301,0.0369,0.064
6.802493,0.1052,-0.1238,-0.2578,0.305
6.820490,0.1675,0.0613,-0.1461,0.231
6.840588,0.1620,0.1332,-0.0256,0.211
6.858053,-0.0129,0.1614,0.0185,0.163
6.878425,-0.0790,0.0323,0.0750,0.114
6.897505,-0.1060,-0.0300,0.0346,0.115
6.916934,-0.1047,0.0172,-0.0966,0.143
6.936595,-0.0582,0.0261,0.0873,0.108
6.954520,-0.1278,-0.1092,-0.0246,0.170
6.973360,-0.2267,-0.1892,-0.1127,0.316
6.993015,-0.1821,-0.1835,0.0103,0.259
7.011454,-0.0671,-0.2077,0.0169,0.219
7.030470,-0.1974,-0.2274,-0.0398,0.304
7.049259,-0.1829,-0.0838,0.0741,0.214
7.068678,-0.1360,-0.0692,0.0499,0.161
7.087985,0.0116,-0.0802,0.0278,0.086
7.107136,0.0796,0.0223,0.0461,0.095
7.124927,0.0697,0.0024,-0.0477,0.085
7.145468,0.1723,0.0041,0.0023,0.172
7.163460,0.2260,-0.0026,-0.1271,0.259
7.183052,0.2401,-0.0175,-0.2662,0.359
7.200907,0.2595,-0.0765,-0.1744,0.322
7.221259,0.1457,-0.1896,-0.2350,0.335
7.239859,0.1918,-0.0988,-0.1276,0.251
7.258654,0.0935,0.0420,-0.1150,0.154
7.278031,0.0800,0.0748,-0.0340,0.115
7.297128,-0.0213,0.0727,-0.0005,0.076
7.318350,-0.0459,0.1098,0.0261,0.122
7.335145,-0.1890,0.1288,0.1968,0.302
7.354651,-0.1818,0.1447,0.1705,0.288
7.372056,-0.0458,0.1554,0.1396,0.214
7.391285,-0.0261,0.0781,0.1169,0.143
7.412291,0.0249,0.1786,0.1566,0.239
7.430876,-0.1775,0.1727,0.0219,0.249
7.448501,0.0410,-0.0155,-0.0982,0.108
7.468369,0.1314,-0.0716,-0.0500,0.158
7.489139,0.2519,-0.1844,-0.1701,0.355
7.507036,0.2745,-0.2096,-0.0333,0.347
7.524991,0.2671,-0.0855,-0.2736,0.392
7.544724,0.0244,-0.1382,-0.1104,0.179
7.562913,-0.1089,-0.2534,-0.0196,0.276
7.582698,-0.1926,-0.2132,0.0662,0.295
7.601459,-0.3250,0.0031,0.1230,0.348
7.620485,-0.4234,0.1417,0.2638,0.519
7.639424,-0.1733,0.0624,0.1471,0.236
7.658047,-0.2089,0.2085,0.1784,0.345
7.677690,-0.4172,0.2499,0.1737,0.516
7.697084,-0.5810,0.2595,0.1916,0.665
7.715995,-0.3144,-0.0393,0.0354,0.319
7.737493,-0.1759,-0.2753,-0.0111,0.327
7.754459,-0.3283,-0.6194,-0.1019,0.708
7.772860,-0.1776,-0.5471,-0.1828,0.604
7.792951,-0.0084,-0.3525,0.0407,0.355
7.810969,0.2346,-0.1273,-0.1960,0.331
7.829403,0.1829,-0.2144,-0.4390,0.522
7.849807,0.4479,-0.1517,-0.1265,0.490
7.867742,0.9415,-0.2729,-0.3147,1.029
7.886979,0.9057,-0.2599,-0.2605,0.978
7.905467,0.6534,-0.3225,0.1784,0.750
7.924385,-0.0552,-0.4633,-0.0803,0.473
7.944133,-0.4465,-0.2436,-0.2603,0.571
7.962824,-1.3124,-0.2462,-2.7896,3.093
7.981820,0.2756,-0.3857,-3.7653,3.795
8.000539,1.3973,0.2381,0.4904,1.500
8.019787,1.6083,0.4496,4.3628,4.671
8.038764,1.0700,0.7838,1.7144,2.168
8.057278,0.4972,0.7898,0.2865,0.976
8.076299,-0.8641,0.2689,0.9113,1.284
8.096093,-1.2241,0.3522,1.3180,1.833
8.115428,-1.1023,-0.0946,3.4998,3.670
8.133963,-0.3056,-0.2571,4.6255,4.643
8.153028,0.3925,-0.2426,2.6295,2.670
8.171562,-0.5599,-0.3780,0.4179,0.794
8.190961,-1.9900,-0.0824,0.4942,2.052
8.211197,-2.4171,-0.2312,0.5057,2.480
8.229823,-1.5049,-0.7680,-0.1391,1.695
8.248981,-0.3685,-0.7297,-0.0748,0.821
8.267364,-0.5352,-0.6917,0.3709,0.950
8.287273,-0.3357,-0.4928,0.3237,0.678
8.305910,-0.3615,0.0377,-0.7022,0.791
8.325306,0.0372,0.1975,-1.6933,1.705
8.344012,0.3263,0.1952,-1.3035,1.358
8.362374,-0.0554,0.1446,-0.6799,0.697
8.381754,-0.9547,0.0620,-0.5691,1.113
8.402835,-0.1351,-0.2734,-0.4964,0.583
8.419114,0.6878,-0.5471,-0.7146,1.133
8.439219,-0.5411,-0.0795,-0.1786,0.575
8.457760,-0.6550,0.2280,0.4778,0.842
8.476783,-0.2649,0.3956,0.4845,0.679
8.496592,-0.3694,0.3264,0.3507,0.605
8.515228,-0.0579,0.3214,0.2099,0.388
8.536133,0.0381,0.0834,0.4436,0.453
8.553957,0.2202,-0.2062,0.1125,0.322
8.571731,0.4939,-0.2843,-0.1372,0.586
8.591250,0.6575,-0.3843,0.1385,0.774
8.610323,0.3410,-0.3729,0.4276,0.662
8.629364,0.2944,-0.4306,0.2385,0.574
8.648110,-0.2176,-0.2817,0.0303,0.357
8.667283,-0.3484,-0.0320,-0.2779,0.447
8.686157,-0.2246,0.1030,-0.2869,0.379
8.706380,0.0036,0.1092,-0.0052,0.109
