"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"11/23/2022","27","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","23",".","27"
"11/24/2022","38","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","20",".","38"
"11/25/2022","38","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","28",".","38"
"11/26/2022","28","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","28",".","18"
"11/27/2022","33","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","33",".","13"
"11/28/2022","26","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","26",".","11"
"11/29/2022","31","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","31",".","20"
"11/30/2022","33","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","33",".","8"
"12/01/2022","29","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","29",".","23"
"12/02/2022","31","PM2.5","DAYTON - W MAIN","53-013-0002","AirNow","28",".","31"
"12/03/2022","38","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","19",".","38"
"12/04/2022","35","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","18",".","35"
"12/05/2022","32","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","24",".","32"
"12/06/2022","31","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","31",".","20"
"12/07/2022","34","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","21",".","34"
"12/08/2022","32","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","31",".","32"
"12/09/2022","33","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","33",".","14"
"12/10/2022","32","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","32",".","7"
"12/11/2022","30","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","17",".","30"
"12/12/2022","22","PM2.5","DAYTON - W MAIN","53-013-0002","AirNow","20",".","22"
"12/13/2022","45","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","20",".","45"
"12/14/2022","51","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","21",".","51"
"12/15/2022","54","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","23",".","54"
"12/16/2022","40","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","23",".","40"
"12/17/2022","41","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","24",".","41"
